region_id,image_id,image_title,label,status,match_count,kit_id,kit_brand,kit_name
662,33,image2.jpg,Airfix Focke Wulf 189,linked,1,25,Airfix,Focke-Wulf 189
664,33,image2.jpg,Airfix Henschel HS 129,linked,1,187,Airfix,Henschel H.S.129
667,33,image2.jpg,Airfix Pontoon Bridge,linked,1,12,Airfix,Pontoon Bridge
675,44,image3.jpg,Airfix Black Widow,linked,1,180,Airfix,Black Widow
684,26,image13.jpg,Airfix Harrow,linked,1,18,Airfix,Harrow
685,26,image13.jpg,Revell Phantom F-4J,linked,1,119,Revell,Phantom F-4J
688,37,image23.jpg,AMT Chevy Titan 90,linked,1,216,AMT,Chevy Titan 90
689,37,image23.jpg,AMT Ford LNT-8000 Tractor,linked,1,221,AMT,Ford LNT-8000 Tractor
695,37,image23.jpg,AMT Peterbilt 359 California Hauler,linked,1,32,AMT,Peterbilt 359 California Hauler
696,37,image23.jpg,AMT Peterbilt 359 California Hauler,linked,1,32,AMT,Peterbilt 359 California Hauler
698,37,image23.jpg,Revell Phantom F-4J,linked,1,119,Revell,Phantom F-4J
699,37,image23.jpg,Revell Phantom F-4J,linked,1,119,Revell,Phantom F-4J
700,37,image23.jpg,Revell Phantom F-4J,linked,1,119,Revell,Phantom F-4J
704,22,image1.jpg,AMT Chevy Titan 90,linked,1,216,AMT,Chevy Titan 90
727,27,image14.jpg,AMT New Ford Pickup,linked,1,234,AMT,New Ford Pickup
731,27,image14.jpg,AMT ‘34 Ford Pickup,linked,1,206,AMT,34 Ford Pickup
732,27,image14.jpg,Aurora B-25 Mitchell Bomber,linked,1,261,Aurora,B-25 Mitchell Bomber
739,65,image9.jpg,AMT 55 Chevy Nomad,linked,1,209,AMT,55 Chevy Nomad
741,65,image9.jpg,AMT Nova Pro Stock,linked,1,249,AMT,Nova Pro Stock
744,39,image25.png,AMT Chevy Titan 90,linked,1,216,AMT,Chevy Titan 90
746,39,image25.png,AMT Peterbilt 359 California Hauler,linked,1,32,AMT,Peterbilt 359 California Hauler
749,23,image10.jpg,AMT 1958 Chevy Impala,linked,1,203,AMT,1958 Chevy Impala
754,23,image10.jpg,AMT 53 Ford Pickup Street Rods,linked,1,208,AMT,53 Ford Pickup Street Rods
755,23,image10.jpg,AMT 55 Chevy Nomad,linked,1,209,AMT,55 Chevy Nomad
756,23,image10.jpg,AMT 59 Chevy El Camino,linked,1,210,AMT,59 Chevy El Camino
757,23,image10.jpg,AMT Chevy Titan 90,linked,1,216,AMT,Chevy Titan 90
758,23,image10.jpg,AMT Chevy Titan 90,linked,1,216,AMT,Chevy Titan 90
759,23,image10.jpg,AMT Crew Chief,linked,1,217,AMT,Crew Chief
762,23,image10.jpg,AMT Gurney/Jorgensen Eagle,linked,1,224,AMT,Gurney/Jorgensen Eagle
